,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1267,high,low,high,high,medium,high,high,high,medium,high,low,7
1268,high,high,medium,high,medium,low,medium,high,low,low,low,5
1269,high,high,high,high,medium,high,high,high,low,high,low,6
1270,high,low,high,high,medium,high,high,high,medium,high,low,7
1271,high,high,high,low,low,low,medium,medium,medium,low,medium,5
1272,medium,high,medium,medium,high,medium,high,high,medium,medium,low,5
1273,high,high,high,low,low,low,medium,medium,medium,low,medium,5
1274,high,high,high,high,medium,high,high,high,low,high,low,6
1275,low,low,low,low,high,low,medium,medium,medium,medium,low,6
1276,high,low,high,high,medium,high,high,high,medium,high,low,7
1277,high,high,medium,high,medium,low,medium,high,low,low,low,5
1278,medium,medium,medium,medium,high,low,medium,medium,high,low,medium,6
1279,medium,medium,medium,low,low,low,medium,medium,high,high,medium,6
1280,high,low,high,low,low,medium,medium,low,low,high,high,6
1281,high,medium,medium,low,low,low,high,low,low,medium,high,7
1282,high,high,high,high,medium,high,medium,high,low,low,low,5
1283,high,high,medium,high,low,high,medium,medium,low,low,high,8
1284,high,medium,medium,low,low,low,high,low,low,medium,high,7
1285,high,low,high,low,low,medium,medium,low,low,high,high,6
1286,medium,low,medium,low,high,medium,medium,low,low,medium,high,7
1287,high,low,high,low,low,medium,low,low,low,high,high,7
1288,high,high,medium,low,low,medium,low,low,medium,medium,high,7
1289,medium,low,medium,low,low,low,low,low,high,medium,high,6
1290,high,low,medium,low,low,low,low,medium,medium,low,low,6
1291,high,low,medium,high,low,high,high,high,low,high,low,6
1292,low,low,medium,low,low,low,low,medium,high,high,medium,6
1293,medium,high,low,medium,low,low,low,medium,low,high,high,4
1294,medium,high,low,medium,low,low,low,medium,low,high,high,4
1295,high,low,medium,high,low,high,high,high,low,high,low,6
1296,high,high,medium,medium,medium,medium,medium,medium,high,medium,medium,6
1297,high,high,high,medium,medium,medium,medium,medium,medium,low,high,7
1298,high,high,high,medium,medium,high,high,medium,high,medium,high,6
1299,high,low,low,medium,medium,high,high,medium,low,low,high,5
1300,high,medium,high,medium,medium,high,high,medium,low,low,medium,6
1301,medium,low,high,medium,low,high,high,medium,medium,low,high,5
1302,high,low,high,medium,high,medium,high,high,high,low,low,6
1303,high,low,medium,high,low,high,high,medium,low,low,medium,6
1304,high,high,high,high,low,high,high,high,low,high,low,5
1305,high,low,high,low,high,low,low,medium,high,medium,medium,7
1306,medium,medium,high,low,medium,medium,low,low,medium,medium,high,8
1307,high,low,high,low,high,low,medium,high,low,high,low,5
1308,high,low,high,low,medium,low,medium,medium,low,medium,medium,6
1309,high,low,high,low,high,low,low,medium,low,high,medium,6
1310,low,high,low,high,medium,medium,medium,high,high,low,medium,6
1311,low,low,low,medium,medium,medium,low,medium,medium,medium,medium,6
1312,high,medium,high,low,medium,low,high,medium,low,low,medium,5
1313,high,high,high,low,medium,low,high,medium,low,medium,low,5
1314,low,high,high,medium,medium,high,high,medium,medium,medium,low,6
1315,high,low,medium,high,medium,high,high,high,low,medium,medium,6
1316,high,medium,low,low,low,medium,high,medium,low,low,high,6
1317,medium,low,medium,low,medium,low,high,medium,high,high,medium,5
1318,low,low,medium,low,medium,low,low,medium,high,medium,medium,6
1319,low,medium,high,medium,low,high,high,high,low,low,low,5
1320,high,low,high,low,medium,low,low,low,low,high,high,6
1321,high,high,high,medium,low,low,low,low,medium,low,high,6
1322,low,high,medium,low,low,medium,medium,low,high,high,medium,6
1323,low,low,low,low,high,medium,high,low,high,high,medium,5
1324,medium,low,medium,low,medium,low,high,medium,high,high,medium,6
1325,high,high,high,low,medium,medium,low,low,medium,medium,high,7
1326,low,low,high,medium,medium,medium,high,high,low,low,low,6
1327,medium,medium,medium,low,medium,high,high,medium,low,medium,medium,6
1328,low,high,medium,low,low,low,low,low,high,low,high,6
1329,high,low,high,low,high,low,low,medium,low,medium,low,5
1330,high,low,high,low,high,low,low,medium,low,medium,low,5
1331,medium,low,medium,high,high,low,low,high,high,low,low,6
1332,high,low,high,high,high,high,high,high,medium,medium,low,7
1333,high,low,high,low,low,high,high,low,low,high,high,8
1334,high,medium,high,low,medium,low,low,low,medium,low,high,6
1335,low,low,low,low,medium,high,high,medium,high,high,medium,6
1336,high,medium,medium,medium,medium,medium,high,medium,high,low,high,8
1337,medium,low,medium,medium,medium,medium,high,high,high,medium,medium,5
1338,medium,low,medium,medium,medium,medium,high,high,high,medium,medium,5
1339,high,high,low,high,low,medium,low,high,low,low,medium,6
1340,high,low,medium,low,medium,high,medium,low,high,low,medium,6
1341,high,high,low,low,low,low,medium,medium,low,low,medium,5
1342,high,high,low,high,low,medium,low,high,low,low,medium,6
1343,medium,medium,medium,high,high,high,high,high,high,medium,medium,6
1344,high,low,high,low,medium,high,high,low,high,low,high,8
1345,high,high,high,low,medium,medium,low,low,high,medium,high,8
1346,medium,high,high,medium,medium,high,high,medium,medium,low,high,7
1347,high,high,high,medium,medium,medium,high,medium,medium,low,high,7
1348,high,medium,medium,medium,medium,medium,high,medium,high,low,high,8
1349,high,high,high,low,medium,low,low,low,low,low,medium,4
1350,high,high,high,medium,low,low,medium,low,high,high,high,7
1351,low,high,medium,medium,low,medium,medium,low,high,low,high,7
1352,low,low,low,low,medium,high,high,medium,high,high,medium,6
1353,medium,low,medium,medium,medium,medium,high,high,high,medium,medium,5
1354,high,low,medium,low,medium,high,high,high,high,low,low,5
1355,high,low,high,low,medium,medium,medium,low,low,low,high,5
1356,high,low,high,high,high,high,high,high,high,high,low,6
1357,low,medium,high,medium,medium,high,high,medium,medium,medium,low,6
1358,medium,high,medium,medium,medium,medium,low,low,high,medium,high,8
1359,low,low,medium,low,medium,medium,medium,low,high,high,medium,7
1360,low,low,low,medium,medium,high,high,medium,high,low,medium,6
1361,low,low,low,medium,low,high,high,medium,high,low,medium,7
1362,low,medium,medium,low,medium,high,low,low,medium,medium,high,7
1363,medium,high,low,low,high,low,low,medium,medium,low,low,4
1364,high,low,high,low,medium,medium,medium,low,low,low,high,5
1365,medium,low,low,low,medium,medium,medium,medium,high,low,medium,7
1366,medium,low,high,low,low,low,low,low,high,low,medium,6
1367,high,medium,low,medium,high,low,low,high,medium,medium,low,5
1368,high,low,high,high,high,high,high,high,high,high,low,6
1369,high,high,high,high,high,high,high,high,low,medium,low,5
1370,high,medium,high,low,high,low,low,medium,high,low,medium,6
1371,high,medium,high,high,medium,medium,high,medium,low,low,high,7
1372,high,low,high,high,medium,medium,high,high,low,high,low,6
1373,high,low,high,high,medium,medium,high,high,low,high,low,6
1374,medium,low,medium,medium,low,low,medium,low,medium,low,high,7
1375,low,medium,medium,low,low,medium,medium,low,high,low,high,7
1376,medium,medium,high,low,medium,low,medium,medium,medium,high,high,6
1377,medium,medium,high,low,high,low,medium,medium,medium,high,high,6
1378,medium,medium,medium,low,medium,high,medium,low,high,low,high,7
1379,medium,high,low,low,high,low,medium,low,low,low,medium,6
1380,medium,high,medium,high,medium,medium,medium,medium,high,low,high,7
1381,low,high,medium,medium,medium,low,low,low,high,high,high,7
1382,medium,high,low,medium,medium,medium,low,medium,low,low,low,6
1383,medium,high,high,low,medium,low,low,low,medium,low,medium,6
1384,medium,low,high,low,medium,low,medium,medium,medium,high,high,6
1385,low,high,medium,low,medium,low,medium,high,high,high,low,5
1386,low,high,low,medium,medium,low,low,low,high,high,high,7
1387,medium,high,medium,medium,low,low,low,low,high,medium,high,6
1388,high,low,medium,low,medium,low,medium,low,medium,medium,high,7
1389,high,low,high,low,low,high,high,medium,low,low,medium,6
1390,low,low,low,medium,low,medium,medium,medium,high,low,medium,6
1391,low,low,high,low,low,low,low,low,high,low,high,6
1392,medium,high,medium,medium,low,low,low,low,high,medium,high,6
1393,low,low,medium,medium,medium,low,low,medium,high,low,low,6
1394,low,high,low,medium,medium,low,low,low,high,high,high,7
1395,medium,low,medium,low,medium,low,low,low,low,medium,high,7
1396,high,low,medium,low,medium,low,medium,low,medium,medium,high,7
1397,high,medium,medium,high,high,medium,high,high,low,medium,low,7
1398,high,medium,medium,high,high,medium,high,high,low,medium,low,7
1399,medium,low,medium,medium,low,medium,low,medium,medium,medium,high,6
1400,high,medium,medium,high,high,medium,high,high,low,medium,low,7
1401,low,high,high,high,high,high,high,high,medium,medium,low,6
1402,high,high,medium,medium,medium,medium,medium,medium,high,medium,high,8
1403,medium,medium,medium,low,medium,medium,medium,medium,high,high,medium,8
1404,high,high,high,medium,medium,low,low,medium,low,low,high,5
1405,low,high,low,medium,high,low,low,medium,medium,low,medium,4
1406,high,low,medium,medium,low,low,low,medium,low,low,medium,8
1407,medium,low,low,medium,low,low,low,medium,low,high,high,6
1408,high,medium,medium,high,high,medium,high,high,low,medium,low,7
1409,high,low,medium,low,medium,medium,medium,medium,medium,low,medium,6
1410,medium,medium,medium,medium,low,medium,low,medium,high,low,high,6
1411,medium,low,medium,medium,low,medium,low,medium,medium,medium,high,6
1412,medium,medium,medium,medium,low,low,medium,medium,high,high,high,8
1413,high,medium,high,medium,medium,low,medium,medium,medium,low,medium,6
1414,low,low,medium,low,low,high,medium,low,high,low,high,6
1415,low,high,low,low,low,low,low,medium,high,low,low,5
1416,medium,low,low,low,medium,low,medium,medium,high,high,medium,6
1417,high,high,medium,high,high,medium,high,high,low,high,medium,3
1418,medium,high,high,low,medium,low,medium,low,medium,high,medium,5
1419,high,low,high,low,medium,low,low,low,low,low,medium,7
1420,high,medium,high,high,medium,medium,medium,high,low,low,medium,4
1421,low,low,high,medium,medium,low,low,low,high,low,high,6
1422,low,low,low,low,high,low,low,medium,high,medium,low,5
1423,high,medium,high,high,high,medium,high,high,low,low,medium,4
1424,high,medium,high,medium,medium,low,medium,medium,medium,low,medium,6
1425,medium,low,high,low,high,low,medium,low,high,low,high,6
1426,high,low,high,low,medium,medium,medium,low,low,low,high,6
1427,high,medium,high,low,medium,medium,high,low,medium,high,high,5
1428,high,low,high,low,low,medium,low,low,low,high,medium,7
1429,low,low,high,low,high,low,low,medium,high,medium,low,5
1430,medium,high,low,low,medium,low,medium,low,low,low,medium,4
1431,low,low,high,low,high,low,low,medium,high,medium,low,5
1432,low,high,high,medium,low,low,low,low,low,medium,high,7
1433,medium,medium,high,low,low,medium,low,low,low,low,high,6
1434,high,medium,high,low,medium,medium,high,low,medium,high,high,5
1435,medium,low,low,high,high,low,low,high,medium,medium,low,5
1436,high,high,high,high,high,high,high,high,low,high,low,5
1437,high,low,high,low,low,medium,low,low,low,high,medium,7
1438,low,low,high,medium,high,high,high,medium,medium,low,low,5
1439,low,medium,high,medium,high,high,high,high,medium,medium,low,5
1440,high,medium,high,high,high,high,high,high,low,medium,low,5
1441,high,high,low,low,high,low,low,medium,medium,low,medium,5
1442,high,medium,high,low,high,low,low,medium,low,low,low,5
1443,medium,low,high,medium,medium,medium,medium,low,medium,low,high,6
1444,high,high,high,high,low,medium,high,high,medium,low,high,6
1445,high,low,high,medium,medium,medium,medium,low,high,low,high,6
1446,low,medium,high,low,high,medium,low,low,high,low,high,6
1447,high,low,high,low,high,low,medium,low,medium,medium,high,6
1448,high,low,high,low,high,low,medium,low,medium,medium,high,6
1449,medium,low,high,medium,low,high,high,medium,medium,low,high,6
1450,high,high,high,high,low,medium,high,high,medium,low,high,6
1451,high,high,high,low,medium,low,medium,medium,low,low,low,5
1452,high,high,high,high,low,medium,high,high,medium,low,high,6
1453,high,high,high,high,low,medium,high,high,medium,low,high,7
1454,high,low,high,high,high,high,high,high,low,high,low,5
1455,medium,high,high,high,high,high,medium,high,low,high,low,5
1456,low,medium,high,low,high,medium,low,low,high,low,high,6
1457,high,low,high,medium,medium,medium,medium,low,high,low,high,6
1458,medium,low,high,medium,medium,high,medium,low,high,low,high,6
1459,high,low,high,medium,medium,low,medium,medium,medium,low,medium,6
1460,high,low,high,medium,high,medium,medium,medium,high,low,high,6
1461,low,low,high,medium,medium,high,high,medium,high,medium,medium,6
1462,high,low,high,low,high,low,medium,low,medium,medium,high,6
1463,high,low,high,low,high,low,medium,low,low,medium,medium,6
1464,high,high,high,high,low,high,medium,medium,medium,low,high,8
1465,medium,low,high,low,medium,low,high,medium,high,high,medium,5
1466,medium,low,high,medium,low,high,high,medium,medium,low,high,6
1467,medium,medium,high,medium,low,medium,low,low,medium,low,high,7
1468,low,medium,low,low,medium,low,low,medium,medium,low,medium,5
1469,high,high,high,low,medium,low,medium,medium,low,low,low,5
1470,high,high,high,high,low,medium,high,high,medium,low,high,7
1471,high,high,high,high,low,medium,high,high,medium,low,high,6
1472,high,low,high,low,high,low,low,low,medium,low,high,5
1473,medium,low,high,medium,low,medium,medium,medium,medium,medium,medium,6
1474,medium,medium,low,medium,high,low,low,medium,low,medium,low,4
1475,high,low,high,low,high,low,medium,medium,high,medium,medium,6
1476,medium,high,high,high,low,medium,high,high,medium,low,medium,5
1477,high,high,low,low,medium,low,low,low,low,low,medium,6
1478,high,low,low,medium,medium,medium,high,medium,low,low,high,6
1479,high,low,high,low,high,low,medium,medium,high,medium,medium,6
1480,high,low,high,low,high,low,medium,medium,high,medium,medium,6
1481,medium,medium,low,low,medium,low,medium,medium,high,high,medium,6
1482,medium,low,high,medium,medium,high,high,medium,high,high,medium,6
1483,medium,medium,low,medium,high,low,low,medium,low,medium,low,4
1484,high,high,low,medium,high,low,medium,high,medium,medium,low,3
1485,high,medium,high,low,low,low,medium,low,low,low,medium,6
1486,low,low,high,low,low,low,low,medium,high,high,low,6
1487,medium,medium,high,high,high,high,high,high,high,medium,medium,6
1488,low,medium,high,high,medium,high,high,high,medium,high,low,6
1489,high,low,high,high,low,high,high,high,low,low,low,5
1490,low,low,high,low,low,medium,low,low,high,medium,medium,6
1491,high,low,high,low,low,low,low,low,low,high,high,5
1492,high,medium,high,high,medium,high,high,high,medium,medium,medium,5
1493,high,high,high,high,low,medium,high,medium,medium,low,high,8
1494,high,high,high,high,low,high,high,medium,medium,low,high,8
1495,high,medium,high,high,low,high,high,medium,medium,low,high,7
1496,medium,high,low,low,medium,low,low,medium,high,low,medium,5
1497,medium,medium,high,low,medium,medium,medium,low,medium,medium,high,7
1498,high,medium,high,low,medium,low,low,low,medium,low,high,6
1499,medium,high,low,low,medium,low,medium,low,medium,high,high,6
1500,high,low,high,high,low,low,medium,medium,low,low,medium,7
1501,high,low,high,low,medium,medium,high,medium,low,low,medium,5
1502,medium,medium,low,low,low,low,medium,medium,medium,low,low,5
1503,medium,high,low,medium,medium,low,medium,low,high,low,high,7
1504,medium,low,high,high,medium,low,medium,medium,high,low,high,8
1505,high,low,high,low,medium,medium,medium,medium,low,medium,medium,7
1506,high,low,high,high,high,high,high,high,low,medium,medium,6
1507,high,medium,high,medium,medium,high,high,high,medium,high,medium,6
1508,medium,low,high,high,high,high,high,high,high,medium,medium,6
1509,high,low,high,low,high,low,medium,medium,medium,medium,medium,5
1510,high,low,high,low,high,low,medium,medium,medium,medium,medium,5
1511,high,low,high,medium,medium,low,medium,medium,low,medium,high,6
1512,high,low,high,high,low,medium,medium,medium,low,low,medium,7
1513,high,low,high,high,low,high,high,medium,low,low,high,6
1514,high,low,high,high,low,low,medium,medium,low,low,medium,7
1515,high,low,high,low,medium,medium,medium,medium,medium,high,medium,6
1516,high,low,high,high,low,high,medium,medium,low,low,medium,6
1517,high,medium,high,high,low,high,high,medium,low,low,medium,6
1518,high,low,high,medium,low,low,low,medium,low,low,high,6
1519,high,low,high,low,medium,medium,high,medium,low,low,medium,5
1520,high,low,high,low,low,medium,high,medium,low,low,medium,6
1521,medium,medium,low,low,low,low,medium,medium,medium,low,low,5
1522,medium,low,high,low,medium,low,high,medium,high,high,medium,5
1523,high,medium,high,high,medium,medium,high,high,high,medium,medium,6
1524,medium,low,high,high,medium,medium,high,high,high,low,low,6
1525,high,medium,high,high,low,high,high,high,low,medium,low,5
1526,high,medium,high,low,low,medium,high,low,medium,high,high,6
1527,high,medium,high,medium,medium,high,high,high,low,high,medium,6
1528,high,medium,high,low,low,medium,high,low,medium,high,high,6
1529,medium,low,high,high,medium,medium,high,high,high,low,low,6
1530,high,medium,high,high,low,high,high,high,low,medium,low,5
1531,high,medium,high,high,low,low,high,medium,low,low,high,7
1532,high,low,high,medium,high,high,high,medium,medium,low,high,7
1533,high,medium,high,medium,low,medium,low,medium,medium,high,medium,6
1534,medium,low,high,high,medium,high,high,high,high,high,low,6
1535,high,low,high,low,low,low,medium,medium,low,low,medium,6
1536,high,low,high,low,low,low,low,medium,low,low,medium,5
1537,high,medium,high,low,medium,medium,medium,medium,medium,low,medium,6
1538,low,low,high,low,low,low,low,low,medium,low,medium,6
1539,high,medium,high,medium,low,medium,low,medium,medium,high,medium,6
1540,medium,low,high,high,medium,high,high,high,high,high,low,6
1541,medium,high,low,low,low,medium,low,medium,medium,low,low,4
1542,high,low,high,low,low,low,low,low,medium,high,medium,6
1543,high,low,high,low,low,medium,low,medium,medium,high,medium,6
1544,high,low,high,low,low,low,low,medium,low,low,medium,5
1545,high,low,high,medium,high,medium,medium,medium,medium,medium,medium,6
1546,medium,medium,high,medium,low,medium,high,medium,medium,medium,medium,6
1547,medium,medium,high,medium,low,medium,high,medium,low,medium,medium,6
1548,medium,high,low,low,low,medium,low,low,high,high,high,6
1549,high,low,high,low,low,low,medium,medium,low,low,medium,6
1550,high,low,high,medium,high,medium,high,medium,medium,medium,medium,6
1551,medium,low,high,low,high,high,medium,medium,low,low,low,6
1552,high,low,high,low,low,high,medium,low,high,medium,high,7
1553,medium,medium,high,medium,high,low,high,high,high,high,medium,7
1554,high,high,high,high,high,medium,high,high,high,high,high,7
1555,medium,medium,high,low,low,medium,medium,medium,high,high,medium,7
1556,high,low,high,high,low,high,high,high,low,high,low,6
1557,high,low,high,medium,high,medium,high,medium,medium,medium,medium,6
1558,low,high,high,medium,medium,low,low,high,high,high,low,4
1559,high,high,high,low,low,low,low,low,low,low,medium,4
1560,high,medium,high,low,low,medium,high,low,high,medium,high,6
1561,high,medium,high,low,high,low,low,high,medium,medium,medium,5
1562,medium,high,high,low,low,low,medium,low,high,low,high,7
1563,high,medium,high,low,low,medium,high,low,high,medium,high,6
1564,high,medium,high,low,high,low,low,high,medium,medium,medium,5
1565,high,low,high,medium,medium,medium,low,medium,medium,medium,medium,6
1566,high,low,high,high,medium,medium,high,high,low,low,low,5
1567,high,low,high,low,high,low,low,medium,high,medium,medium,5
1568,high,medium,high,high,high,high,high,high,high,high,low,6
1569,medium,medium,high,medium,low,medium,high,medium,medium,medium,medium,5
1570,medium,medium,high,medium,medium,medium,high,medium,medium,medium,medium,5
1571,high,medium,high,high,high,high,high,high,high,high,low,6
1572,medium,low,high,medium,high,high,high,high,high,medium,medium,6
1573,high,medium,high,medium,medium,low,low,medium,medium,low,medium,5
1574,high,low,high,high,medium,low,low,medium,low,low,medium,4
1575,medium,low,high,medium,high,high,high,medium,high,high,medium,6
1576,low,medium,high,low,high,low,low,medium,high,medium,medium,6
1577,medium,high,high,low,high,low,medium,medium,high,high,medium,4
1578,low,low,high,high,medium,high,high,high,high,high,medium,5
1579,high,high,high,high,high,high,high,high,medium,high,low,4
1580,high,high,high,high,medium,low,medium,high,medium,medium,low,5
1581,high,medium,high,medium,medium,medium,low,medium,low,low,high,6
1582,high,medium,high,medium,medium,high,low,medium,low,low,high,7
1583,low,low,high,high,medium,high,high,high,high,high,medium,5
1584,low,medium,high,medium,medium,high,high,high,medium,low,low,6
1585,high,medium,high,high,medium,high,high,high,low,low,low,5
1586,high,high,high,low,medium,medium,medium,medium,low,medium,medium,5
1587,low,medium,high,medium,medium,high,high,high,medium,low,low,6
1588,high,medium,high,high,medium,high,high,high,low,low,low,5
1589,medium,medium,high,low,low,low,medium,medium,high,medium,high,6
1590,high,low,high,low,low,medium,high,low,low,high,high,6
1591,low,low,high,medium,medium,high,high,medium,high,medium,medium,6
1592,medium,low,high,low,medium,low,low,low,medium,low,medium,6
1593,high,low,high,medium,medium,low,low,medium,medium,high,medium,6
1594,medium,medium,high,medium,medium,medium,medium,medium,low,low,low,6
1595,low,medium,high,medium,medium,high,high,high,medium,low,low,6
1596,medium,high,low,medium,low,high,medium,low,medium,low,high,5
1597,low,medium,high,medium,medium,high,high,high,medium,low,low,6
1598,low,medium,high,low,high,low,low,medium,high,low,medium,6
1599,medium,high,high,low,high,low,low,low,low,medium,high,6
1600,medium,medium,high,medium,medium,medium,medium,medium,low,low,low,6
1601,high,high,high,medium,medium,high,high,high,low,medium,medium,6
1602,low,high,low,medium,low,low,low,low,high,low,high,5
1603,low,high,low,low,low,low,low,low,high,medium,high,7
1604,medium,high,low,medium,medium,medium,medium,medium,medium,low,low,5
1605,medium,medium,high,low,low,medium,low,low,high,low,high,9
1606,high,high,high,low,low,high,low,low,low,medium,high,6
1607,low,low,high,medium,medium,high,medium,medium,high,low,low,7
1608,medium,medium,high,high,high,high,high,high,low,medium,low,5
1609,high,low,high,high,medium,high,high,high,low,medium,medium,7
1610,high,high,high,low,low,high,low,low,low,medium,high,6
1611,high,medium,high,medium,medium,low,low,medium,low,low,medium,6
1612,high,medium,high,medium,low,medium,low,low,low,low,high,7
1613,high,low,high,low,low,high,medium,medium,high,low,medium,7
1614,high,medium,high,high,low,medium,medium,high,medium,low,medium,5
1615,high,low,high,low,medium,high,medium,medium,high,medium,medium,6
1616,medium,high,high,medium,medium,high,high,high,low,low,low,6
1617,low,low,high,low,high,low,medium,medium,medium,medium,low,6
1618,low,high,high,high,medium,high,high,high,medium,medium,low,6
1619,low,low,high,medium,low,medium,medium,medium,high,low,high,8
1620,high,medium,high,medium,low,medium,low,low,low,low,high,7
1621,high,high,high,low,high,low,medium,high,medium,low,low,5
1622,low,high,high,medium,medium,low,high,high,low,low,low,6
1623,medium,low,high,medium,high,low,medium,high,high,low,low,6
1624,high,low,high,low,medium,high,medium,medium,low,medium,medium,7
1625,low,medium,high,medium,low,medium,high,high,high,high,low,6
1626,high,low,high,high,medium,high,high,high,high,medium,medium,6
1627,high,high,high,low,high,low,medium,high,medium,low,low,5
1628,high,low,high,medium,high,low,low,medium,medium,low,high,6
1629,high,low,low,medium,medium,low,low,medium,low,low,low,6
1630,medium,medium,low,low,high,low,medium,medium,medium,high,high,5
1631,high,low,high,medium,high,low,low,medium,medium,low,high,6
1632,medium,medium,high,medium,medium,medium,low,medium,high,high,high,8
1633,high,low,high,medium,low,low,low,medium,medium,low,medium,7
1634,high,medium,high,high,medium,high,high,high,low,medium,low,6
1635,high,low,high,low,low,low,medium,medium,high,medium,medium,6
1636,high,high,high,medium,medium,medium,medium,medium,medium,low,medium,5
1637,high,low,high,low,medium,high,high,medium,medium,medium,low,6
1638,high,high,high,high,high,high,high,high,low,medium,low,5
1639,high,low,high,medium,medium,low,low,medium,low,low,medium,5
1640,high,high,high,medium,medium,medium,medium,medium,medium,low,medium,5
1641,low,low,high,medium,high,high,medium,medium,high,medium,medium,6
1642,high,low,high,high,high,high,medium,high,high,low,low,7
1643,high,medium,high,high,high,high,medium,high,low,high,medium,7
1644,high,low,high,high,high,high,medium,high,high,low,low,7
1645,high,medium,high,high,medium,high,medium,high,medium,high,medium,7
1646,low,low,high,medium,high,high,medium,medium,high,medium,medium,6
1647,high,low,high,low,low,low,low,low,low,low,high,7
1648,medium,medium,high,low,medium,medium,low,medium,high,high,medium,5
1649,medium,medium,high,low,high,medium,high,high,high,medium,low,4
1650,high,high,high,medium,medium,low,medium,low,low,high,high,7
1651,low,high,high,high,high,high,high,high,low,high,low,6
1652,high,medium,high,low,medium,medium,medium,medium,medium,low,medium,4
1653,high,high,low,high,high,medium,high,high,medium,low,low,6
1654,medium,high,high,medium,high,low,high,high,low,low,low,5
1655,high,medium,high,low,medium,low,medium,medium,low,high,medium,5
1656,low,low,high,low,medium,low,low,medium,medium,medium,low,5
1657,high,high,high,medium,high,medium,high,high,high,high,high,6
1658,medium,high,high,medium,high,high,high,high,low,medium,low,5
1659,medium,high,high,medium,high,high,high,high,medium,low,low,5
1660,medium,medium,high,medium,high,high,high,high,medium,medium,low,6
1661,medium,medium,high,high,medium,high,high,high,medium,low,medium,6
1662,medium,low,high,low,medium,medium,low,low,low,low,medium,7
1663,high,high,low,high,high,medium,high,high,medium,low,low,6
1664,high,medium,high,high,high,medium,high,high,high,high,low,4
1665,low,low,high,low,low,high,low,low,high,medium,high,8
1666,high,high,high,low,medium,low,low,medium,high,low,medium,5
1667,high,high,medium,medium,high,medium,medium,medium,low,medium,high,6
1668,high,low,medium,low,low,low,low,low,low,low,medium,7
1669,medium,high,high,low,low,low,medium,low,medium,medium,medium,6
1670,high,medium,low,medium,medium,medium,high,high,medium,high,medium,6
1671,medium,high,medium,medium,low,low,low,medium,high,low,high,7
1672,medium,medium,medium,medium,high,medium,high,medium,medium,low,low,5
1673,medium,medium,medium,medium,high,medium,high,medium,medium,low,low,5
1674,medium,low,medium,high,medium,high,high,high,high,medium,medium,6
1675,low,medium,medium,high,medium,high,high,high,medium,medium,low,5
1676,medium,high,medium,medium,low,low,low,medium,high,low,high,7
1677,high,low,high,low,low,high,high,low,low,low,high,6
1678,low,medium,low,medium,medium,high,high,medium,high,medium,medium,6
1679,low,high,low,medium,low,low,low,medium,high,low,medium,5
1680,high,high,medium,high,high,high,high,high,medium,high,low,5
1681,low,high,medium,high,medium,high,high,high,high,high,high,6
1682,high,medium,low,high,high,high,high,high,low,low,low,7
1683,high,medium,low,high,high,high,high,high,low,low,low,7
1684,high,medium,medium,high,high,high,high,high,low,medium,low,7
1685,high,medium,low,high,high,high,high,high,low,low,low,7
1686,high,medium,high,high,medium,high,medium,high,high,high,medium,5
1687,high,medium,medium,high,high,high,high,high,low,medium,low,7
1688,medium,medium,low,low,medium,high,high,medium,high,high,low,3
1689,medium,low,low,low,low,medium,medium,low,high,high,high,6
1690,high,high,medium,low,high,low,high,medium,low,medium,low,4
1691,high,medium,low,high,high,high,high,high,low,low,low,7
1692,medium,medium,medium,medium,medium,medium,high,medium,high,medium,high,6
1693,medium,medium,low,high,medium,high,high,high,high,low,medium,5
1694,high,low,medium,low,high,high,medium,medium,high,low,low,6
1695,high,low,medium,medium,low,medium,medium,medium,high,low,medium,6
1696,high,high,medium,high,medium,high,high,high,low,low,medium,6
1697,medium,low,medium,low,low,medium,high,low,high,low,high,6
1698,medium,medium,medium,medium,medium,medium,high,medium,high,medium,high,6
1699,low,medium,medium,low,medium,medium,high,low,high,low,high,6
1700,medium,medium,medium,low,medium,low,medium,medium,high,high,medium,6
1701,high,medium,medium,high,low,high,high,high,medium,medium,medium,5
1702,low,medium,low,medium,medium,low,low,high,high,low,low,4
1703,medium,high,high,medium,high,low,medium,high,medium,medium,low,5
1704,medium,high,high,medium,high,low,medium,high,medium,medium,low,5
1705,medium,medium,medium,low,low,medium,medium,low,high,medium,high,6
1706,low,medium,low,low,low,medium,high,medium,high,high,medium,6
1707,medium,medium,medium,high,high,high,high,high,high,low,low,5
1708,medium,high,low,low,high,low,high,medium,high,high,medium,4
1709,medium,low,medium,high,high,high,high,high,high,low,medium,5
1710,high,high,low,low,low,low,low,low,low,medium,medium,5
1711,medium,low,medium,medium,low,medium,medium,medium,medium,medium,medium,5
1712,high,low,high,medium,high,low,high,medium,medium,medium,medium,6
1713,medium,high,low,medium,high,low,medium,high,high,medium,medium,6
1714,medium,medium,low,medium,high,medium,low,medium,low,medium,low,5
1715,low,low,medium,low,medium,high,medium,low,high,high,high,8
1716,medium,low,medium,medium,medium,medium,low,medium,high,medium,medium,6
1717,medium,medium,medium,low,medium,low,medium,low,low,low,medium,6
1718,high,low,medium,low,high,medium,high,high,medium,low,low,4
1719,low,low,low,low,medium,low,low,medium,high,low,low,6
1720,high,low,high,medium,medium,medium,high,medium,high,medium,medium,7
